iter	Passed	Remaining
764	1353	1089
765	1355	1087
766	1356	1085
767	1357	1083
768	1359	1081
769	1360	1079
770	1362	1077
771	1364	1076
772	1366	1074
773	1369	1073
774	1371	1072
775	1372	1070
776	1375	1068
777	1376	1066
778	1378	1065
779	1380	1063
780	1382	1061
781	1383	1059
782	1385	1057
783	1386	1055
784	1388	1053
785	1389	1052
786	1391	1050
787	1393	1048
788	1394	1046
789	1396	1044
790	1398	1043
791	1400	1041
792	1402	1039
793	1403	1037
794	1404	1035
795	1406	1033
796	1409	1032
797	1411	1031
798	1413	1029
799	1415	1028
800	1417	1026
801	1418	1024
802	1420	1022
803	1422	1020
804	1424	1019
805	1427	1018
806	1429	1016
807	1432	1015
808	1434	1014
809	1435	1012
810	1437	1010
811	1440	1009
812	1441	1007
813	1443	1005
814	1445	1003
815	1447	1002
816	1449	1000
817	1451	998
818	1454	998
819	1457	996
820	1458	994
821	1461	993
822	1462	991
823	1464	989
824	1466	988
825	1468	986
826	1470	985
827	1472	983
828	1475	982
829	1476	980
830	1478	978
831	1480	976
832	1481	974
833	1483	972
834	1486	971
835	1487	970
836	1489	968
837	1491	966
838	1492	964
839	1494	962
840	1496	960
841	1498	959
842	1500	957
843	1502	955
844	1504	954
845	1506	952
846	1508	950
847	1511	949
848	1513	948
849	1516	947
850	1518	945
851	1520	943
852	1521	941
853	1524	940
854	1527	939
855	1529	938
856	1531	936
857	1532	934
858	1534	932
859	1536	930
860	1538	929
861	1540	927
862	1542	925
863	1544	924
864	1545	922
865	1547	920
866	1548	918
867	1550	916
868	1551	914
869	1552	912
870	1555	910
871	1556	908
872	1559	907
873	1560	905
874	1562	903
875	1563	901
876	1565	899
877	1567	897
878	1569	896
879	1571	894
880	1572	892
881	1574	890
882	1576	888
883	1577	886
884	1579	885
885	1580	883
886	1582	881
887	1585	880
888	1588	879
889	1590	877
890	1592	875
891	1594	873
892	1595	871
893	1598	870
894	1600	868
895	1602	867
896	1604	865
897	1606	863
898	1607	862
899	1610	860
900	1614	859
901	1616	858
902	1617	856
903	1619	854
904	1621	852
905	1622	850
906	1624	848
907	1625	846
908	1626	844
909	1630	843
910	1632	842
911	1634	840
912	1636	838
913	1638	837
914	1640	835
915	1641	833
916	1643	831
917	1646	830
918	1648	828
919	1650	827
920	1652	825
921	1653	823
922	1654	821
923	1655	818
924	1658	817
925	1660	815
926	1662	813
927	1663	811
928	1664	809
929	1665	807
930	1668	806
931	1669	804
932	1671	802
933	1674	801
934	1677	800
935	1678	798
936	1681	796
937	1683	795
938	1684	793
939	1686	791
940	1688	789
941	1690	787
942	1692	785
943	1693	783
944	1694	781
945	1696	779
946	1697	778
947	1699	776
948	1700	774
949	1703	772
950	1704	770
951	1705	768
952	1707	766
953	1709	764
954	1710	763
955	1712	761
956	1713	759
957	1714	757
958	1716	755
959	1718	753
960	1720	751
961	1722	750
962	1724	748
963	1725	746
964	1727	744
965	1729	742
966	1730	740
967	1732	739
968	1735	737
969	1736	735
970	1738	734
971	1740	732
972	1741	730
973	1743	728
974	1746	727
975	1749	725
976	1751	724
977	1752	722
978	1754	720
979	1755	718
980	1757	716
981	1758	714
982	1760	712
983	1763	711
984	1764	709
985	1766	707
986	1767	705
987	1769	703
988	1770	701
989	1772	699
990	1773	697
991	1775	696
992	1776	694
993	1778	692
994	1779	690
995	1781	688
996	1783	686
997	1784	684
998	1785	682
999	1787	680
1000	1789	679
1001	1793	678
1002	1794	676
1003	1796	674
1004	1797	672
1005	1798	670
1006	1799	668
1007	1801	666
1008	1803	664
1009	1805	663
1010	1807	661
1011	1809	659
1012	1812	658
1013	1814	656
1014	1815	654
1015	1817	652
1016	1818	650
1017	1820	649
1018	1823	647
1019	1825	645
1020	1826	644
1021	1828	642
1022	1830	640
1023	1831	638
1024	1833	636
1025	1835	635
1026	1837	633
1027	1838	631
1028	1840	629
1029	1841	627
1030	1843	625
1031	1844	623
1032	1845	621
1033	1848	620
1034	1850	618
1035	1851	616
1036	1853	614
1037	1854	612
1038	1856	611
1039	1857	609
1040	1858	607
1041	1860	605
1042	1861	603
1043	1863	601
1044	1865	599
1045	1867	598
1046	1869	596
1047	1871	594
1048	1872	592
1049	1874	590
1050	1875	589
1051	1877	587
1052	1879	585
1053	1881	583
1054	1883	581
1055	1884	580
1056	1886	578
1057	1887	576
1058	1889	574
1059	1890	572
1060	1892	570
1061	1893	568
1062	1896	567
1063	1897	565
1064	1899	563
1065	1900	561
1066	1902	559
1067	1903	557
1068	1904	555
1069	1905	553
1070	1907	552
1071	1910	550
1072	1912	548
1073	1913	547
1074	1915	545
1075	1916	543
1076	1918	541
1077	1919	539
1078	1921	537
1079	1923	536
1080	1926	534
1081	1927	532
1082	1929	530
1083	1931	529
1084	1932	527
1085	1934	525
1086	1935	523
1087	1939	522
1088	1941	520
1089	1943	518
1090	1944	516
1091	1946	515
1092	1948	513
1093	1949	511
1094	1950	509
1095	1953	507
1096	1955	506
1097	1957	504
1098	1959	502
1099	1961	501
1100	1963	499
1101	1964	497
1102	1965	495
1103	1966	493
1104	1970	492
1105	1972	490
1106	1974	488
1107	1976	486
1108	1977	485
1109	1979	483
1110	1980	481
1111	1982	479
1112	1985	478
1113	1987	476
1114	1989	474
1115	1991	473
1116	1993	471
1117	1995	469
1118	1997	467
1119	1999	465
1120	2002	464
1121	2004	462
1122	2005	460
1123	2007	459
1124	2009	457
1125	2010	455
1126	2012	453
1127	2015	451
1128	2017	450
1129	2019	448
1130	2022	447
1131	2024	445
1132	2025	443
1133	2028	441
1134	2030	440
1135	2033	438
1136	2035	436
1137	2037	435
1138	2038	433
1139	2040	431
1140	2043	429
1141	2045	428
1142	2048	426
1143	2050	424
